Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AllCdT_Person,,,2019-04-19 20:17:21,2019-04-19 20:17:23,"2,806s",FAILED
,,,,,,
Test Cases/cdT_Person/cdT_AddPerson,,essai,2019-04-19 20:17:22,2019-04-19 20:17:22,"0,522s",PASSED
Start setup action : setupTestCase,,,2019-04-19 20:17:22,2019-04-19 20:17:22,"0,002s",PASSED
gender = gender,,,2019-04-19 20:17:22,2019-04-19 20:17:22,"0,001s",PASSED
namePerson = namePerson,,,2019-04-19 20:17:22,2019-04-19 20:17:22,"0,001s",PASSED
birthDate = birthDate,,,2019-04-19 20:17:22,2019-04-19 20:17:22,"0,001s",PASSED
"jsonInputFile = JsonOutput.toJson([""gender"":gender, ""name"":namePerson, ""birthDate"":birthDate])",,,2019-04-19 20:17:22,2019-04-19 20:17:22,"0,000s",PASSED
println(jsonInputFile),,,2019-04-19 20:17:22,2019-04-19 20:17:22,"0,001s",PASSED
"request1 = findTestObject(""PersonsOR/GetOnePerson"")",,,2019-04-19 20:17:22,2019-04-19 20:17:22,"0,032s",PASSED
url = restUrl + namePerson,,,2019-04-19 20:17:22,2019-04-19 20:17:22,"0,001s",PASSED
"checkPersonKo = sendRequest(findTestObject(""PersonsOR/GetOnePerson""))",,,2019-04-19 20:17:22,2019-04-19 20:17:22,"0,042s",PASSED
"verifyResponseStatusCode(checkPersonKo, 404)",,,2019-04-19 20:17:22,2019-04-19 20:17:22,"0,002s",PASSED
"request2 = findTestObject(""PersonsOR/PostPerson"")",,,2019-04-19 20:17:22,2019-04-19 20:17:22,"0,050s",PASSED
"request2.setBodyContent(new com.kms.katalon.core.testobject.impl.HttpTextBodyContent(jsonInputFile, UTF-8, application/json))",,,2019-04-19 20:17:22,2019-04-19 20:17:22,"0,001s",PASSED
AddSinglePerson = sendRequest(request2),,,2019-04-19 20:17:22,2019-04-19 20:17:22,"0,006s",PASSED
slurper = new groovy.json.JsonSlurper(),,,2019-04-19 20:17:22,2019-04-19 20:17:22,"0,005s",PASSED
result = slurper.parseText(AddSinglePerson.getResponseBodyContent()),,,2019-04-19 20:17:22,2019-04-19 20:17:22,"0,007s",PASSED
assert name == namePerson,,,2019-04-19 20:17:22,2019-04-19 20:17:22,"0,008s",PASSED
assert gender == gender,,,2019-04-19 20:17:22,2019-04-19 20:17:22,"0,001s",PASSED
assert birthDate == birthDate,,,2019-04-19 20:17:22,2019-04-19 20:17:22,"0,002s",PASSED
"verifyResponseStatusCode(AddSinglePerson, 200)",,,2019-04-19 20:17:22,2019-04-19 20:17:22,"0,003s",PASSED
"checkIfPersonWellAdded = sendRequest(findTestObject(""PersonsOR/GetOnePerson""))",,,2019-04-19 20:17:22,2019-04-19 20:17:22,"0,035s",PASSED
slurper1 = new groovy.json.JsonSlurper(),,,2019-04-19 20:17:22,2019-04-19 20:17:22,"0,000s",PASSED
result1 = slurper1.parseText(checkIfPersonWellAdded.getResponseBodyContent()),,,2019-04-19 20:17:22,2019-04-19 20:17:22,"0,001s",PASSED
assert name == namePerson,,,2019-04-19 20:17:22,2019-04-19 20:17:22,"0,001s",PASSED
assert gender == gender,,,2019-04-19 20:17:22,2019-04-19 20:17:22,"0,002s",PASSED
assert birthDate == birthDate,,,2019-04-19 20:17:22,2019-04-19 20:17:22,"0,001s",PASSED
"verifyResponseStatusCode(AddSinglePerson, 200)",,,2019-04-19 20:17:22,2019-04-19 20:17:22,"0,002s",PASSED
"DeletePersonAddedLastely = sendRequest(findTestObject(""PersonsOR/DeleteOnePerson""))",,,2019-04-19 20:17:22,2019-04-19 20:17:22,"0,043s",PASSED
"verifyResponseStatusCode(DeletePersonAddedLastely, 204)",,,2019-04-19 20:17:22,2019-04-19 20:17:22,"0,001s",PASSED
"checkPersonKoAgain = sendRequest(findTestObject(""PersonsOR/GetOnePerson""))",,,2019-04-19 20:17:22,2019-04-19 20:17:22,"0,043s",PASSED
"verifyResponseStatusCode(checkPersonKoAgain, 404)",,,2019-04-19 20:17:22,2019-04-19 20:17:22,"0,003s",PASSED
,,,,,,
Test Cases/cdT_Person/cdT_DeletePerson,,,2019-04-19 20:17:22,2019-04-19 20:17:23,"0,350s",PASSED
Start setup action : setupTestCase,,,2019-04-19 20:17:22,2019-04-19 20:17:22,"0,001s",PASSED
gender = gender,,,2019-04-19 20:17:22,2019-04-19 20:17:22,"0,000s",PASSED
namePerson = namePerson,,,2019-04-19 20:17:22,2019-04-19 20:17:22,"0,000s",PASSED
birthDate = birthDate,,,2019-04-19 20:17:22,2019-04-19 20:17:22,"0,001s",PASSED
"jsonInputFile = JsonOutput.toJson([""gender"":gender, ""name"":namePerson, ""birthDate"":birthDate])",,,2019-04-19 20:17:22,2019-04-19 20:17:22,"0,001s",PASSED
println(jsonInputFile),,,2019-04-19 20:17:22,2019-04-19 20:17:22,"0,003s",PASSED
"request2 = findTestObject(""PersonsOR/PostPerson"")",,,2019-04-19 20:17:22,2019-04-19 20:17:22,"0,044s",PASSED
"request2.setBodyContent(new com.kms.katalon.core.testobject.impl.HttpTextBodyContent(jsonInputFile, UTF-8, application/json))",,,2019-04-19 20:17:22,2019-04-19 20:17:22,"0,001s",PASSED
AddSinglePerson = sendRequest(request2),,,2019-04-19 20:17:22,2019-04-19 20:17:22,"0,005s",PASSED
slurper = new groovy.json.JsonSlurper(),,,2019-04-19 20:17:22,2019-04-19 20:17:22,"0,000s",PASSED
result = slurper.parseText(AddSinglePerson.getResponseBodyContent()),,,2019-04-19 20:17:22,2019-04-19 20:17:22,"0,004s",PASSED
assert name == namePerson,,,2019-04-19 20:17:22,2019-04-19 20:17:22,"0,002s",PASSED
assert gender == gender,,,2019-04-19 20:17:22,2019-04-19 20:17:22,"0,001s",PASSED
assert birthDate == birthDate,,,2019-04-19 20:17:22,2019-04-19 20:17:22,"0,000s",PASSED
