Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AllCdT_Person,,,2019-04-18 14:21:35,2019-04-18 14:21:37,"2,495s",PASSED
,,,,,,
Test Cases/cdT_Person/cdT_AddPerson,,essai,2019-04-18 14:21:35,2019-04-18 14:21:36,"1,172s",PASSED
Start setup action : setupTestCase,,,2019-04-18 14:21:35,2019-04-18 14:21:36,"0,206s",PASSED
gender = gender,,,2019-04-18 14:21:36,2019-04-18 14:21:36,"0,112s",PASSED
namePerson = namePerson,,,2019-04-18 14:21:36,2019-04-18 14:21:36,"0,001s",PASSED
birthDate = birthDate,,,2019-04-18 14:21:36,2019-04-18 14:21:36,"0,002s",PASSED
"jsonInputFile = JsonOutput.toJson([""gender"":gender, ""name"":namePerson, ""birthDate"":birthDate])",,,2019-04-18 14:21:36,2019-04-18 14:21:36,"0,011s",PASSED
println(jsonInputFile),,,2019-04-18 14:21:36,2019-04-18 14:21:36,"0,004s",PASSED
"request1 = findTestObject(""PersonsOR/GetOnePerson"")",,,2019-04-18 14:21:36,2019-04-18 14:21:36,"0,050s",PASSED
url = restUrl + namePerson,,,2019-04-18 14:21:36,2019-04-18 14:21:36,"0,005s",PASSED
"checkPersonKo = sendRequest(findTestObject(""PersonsOR/GetOnePerson""))",,,2019-04-18 14:21:36,2019-04-18 14:21:36,"0,110s",PASSED
"verifyResponseStatusCode(checkPersonKo, 404)",,,2019-04-18 14:21:36,2019-04-18 14:21:36,"0,011s",PASSED
"request2 = findTestObject(""PersonsOR/PostPerson"")",,,2019-04-18 14:21:36,2019-04-18 14:21:36,"0,051s",PASSED
"request2.setBodyContent(new com.kms.katalon.core.testobject.impl.HttpTextBodyContent(jsonInputFile, UTF-8, application/json))",,,2019-04-18 14:21:36,2019-04-18 14:21:36,"0,005s",PASSED
AddSinglePerson = sendRequest(request2),,,2019-04-18 14:21:36,2019-04-18 14:21:36,"0,012s",PASSED
slurper = new groovy.json.JsonSlurper(),,,2019-04-18 14:21:36,2019-04-18 14:21:36,"0,003s",PASSED
result = slurper.parseText(AddSinglePerson.getResponseBodyContent()),,,2019-04-18 14:21:36,2019-04-18 14:21:36,"0,009s",PASSED
assert name == namePerson,,,2019-04-18 14:21:36,2019-04-18 14:21:36,"0,006s",PASSED
assert gender == gender,,,2019-04-18 14:21:36,2019-04-18 14:21:36,"0,004s",PASSED
assert birthDate == birthDate,,,2019-04-18 14:21:36,2019-04-18 14:21:36,"0,001s",PASSED
