Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AllCdT_Person,,,2019-04-23 18:07:01,2019-04-23 18:07:04,"2,620s",FAILED
,,,,,,
Test Cases/cdT_Person/cdT_retrieveSinglePerson,,,2019-04-23 18:07:02,2019-04-23 18:07:02,"0,528s",PASSED
Start setup action : setupTestCase,,,2019-04-23 18:07:02,2019-04-23 18:07:02,"0,116s",PASSED
"AddSinglePerson = sendRequest(findTestObject(""PersonsOR/PostPerson"", [""gender"":gender, ""name"":namePerson, ""dateBD"":birthDate]))",,,2019-04-23 18:07:02,2019-04-23 18:07:02,"0,015s",PASSED
slurper = new groovy.json.JsonSlurper(),,,2019-04-23 18:07:02,2019-04-23 18:07:02,"0,006s",PASSED
result = slurper.parseText(AddSinglePerson.getResponseBodyContent()),,,2019-04-23 18:07:02,2019-04-23 18:07:02,"0,016s",PASSED
assert name == namePerson,,,2019-04-23 18:07:02,2019-04-23 18:07:02,"0,006s",PASSED
assert gender == gender,,,2019-04-23 18:07:02,2019-04-23 18:07:02,"0,001s",PASSED
assert birthDate == birthDate,,,2019-04-23 18:07:02,2019-04-23 18:07:02,"0,001s",PASSED
"verifyResponseStatusCode(AddSinglePerson, 200)",,,2019-04-23 18:07:02,2019-04-23 18:07:02,"0,002s",PASSED
"checkIfPersonExist = sendRequest(findTestObject(""PersonsOR/GetOnePerson""))",,,2019-04-23 18:07:02,2019-04-23 18:07:02,"0,053s",PASSED
slurper1 = new groovy.json.JsonSlurper(),,,2019-04-23 18:07:02,2019-04-23 18:07:02,"0,001s",PASSED
result1 = slurper1.parseText(checkIfPersonExist.getResponseBodyContent()),,,2019-04-23 18:07:02,2019-04-23 18:07:02,"0,001s",PASSED
assert name == namePerson,,,2019-04-23 18:07:02,2019-04-23 18:07:02,"0,000s",PASSED
assert gender == gender,,,2019-04-23 18:07:02,2019-04-23 18:07:02,"0,000s",PASSED
assert birthDate == birthDate,,,2019-04-23 18:07:02,2019-04-23 18:07:02,"0,003s",PASSED
"verifyResponseStatusCode(checkIfPersonExist, 200)",,,2019-04-23 18:07:02,2019-04-23 18:07:02,"0,003s",PASSED
"DeletePersonAddedLastely = sendRequest(findTestObject(""PersonsOR/DeleteOnePerson""))",,,2019-04-23 18:07:02,2019-04-23 18:07:02,"0,050s",PASSED
"verifyResponseStatusCode(DeletePersonAddedLastely, 204)",,,2019-04-23 18:07:02,2019-04-23 18:07:02,"0,003s",PASSED
"checkIfPersonExistKo = sendRequest(findTestObject(""PersonsOR/GetOnePerson""))",,,2019-04-23 18:07:02,2019-04-23 18:07:02,"0,047s",PASSED
"verifyResponseStatusCode(checkIfPersonExistKo, 404)",,,2019-04-23 18:07:02,2019-04-23 18:07:02,"0,002s",PASSED
,,,,,,
Test Cases/cdT_Person/cdT_AddPerson,,essai,2019-04-23 18:07:02,2019-04-23 18:07:03,"0,381s",PASSED
Start setup action : setupTestCase,,,2019-04-23 18:07:02,2019-04-23 18:07:02,"0,002s",PASSED
"checkPersonKo = sendRequest(findTestObject(""PersonsOR/GetOnePerson""))",,,2019-04-23 18:07:03,2019-04-23 18:07:03,"0,039s",PASSED
"verifyResponseStatusCode(checkPersonKo, 404)",,,2019-04-23 18:07:03,2019-04-23 18:07:03,"0,002s",PASSED
"AddSinglePerson = sendRequest(findTestObject(""PersonsOR/PostPerson"", [""gender"":gender, ""name"":namePerson, ""dateBD"":birthDate]))",,,2019-04-23 18:07:03,2019-04-23 18:07:03,"0,009s",PASSED
slurper = new groovy.json.JsonSlurper(),,,2019-04-23 18:07:03,2019-04-23 18:07:03,"0,000s",PASSED
result = slurper.parseText(AddSinglePerson.getResponseBodyContent()),,,2019-04-23 18:07:03,2019-04-23 18:07:03,"0,001s",PASSED
assert name == namePerson,,,2019-04-23 18:07:03,2019-04-23 18:07:03,"0,001s",PASSED
assert gender == gender,,,2019-04-23 18:07:03,2019-04-23 18:07:03,"0,001s",PASSED
assert birthDate == birthDate,,,2019-04-23 18:07:03,2019-04-23 18:07:03,"0,001s",PASSED
"verifyResponseStatusCode(AddSinglePerson, 200)",,,2019-04-23 18:07:03,2019-04-23 18:07:03,"0,002s",PASSED
"checkIfPersonWellAdded = sendRequest(findTestObject(""PersonsOR/GetOnePerson""))",,,2019-04-23 18:07:03,2019-04-23 18:07:03,"0,031s",PASSED
slurper1 = new groovy.json.JsonSlurper(),,,2019-04-23 18:07:03,2019-04-23 18:07:03,"0,000s",PASSED
result1 = slurper1.parseText(checkIfPersonWellAdded.getResponseBodyContent()),,,2019-04-23 18:07:03,2019-04-23 18:07:03,"0,000s",PASSED
assert name == namePerson,,,2019-04-23 18:07:03,2019-04-23 18:07:03,"0,001s",PASSED
assert gender == gender,,,2019-04-23 18:07:03,2019-04-23 18:07:03,"0,001s",PASSED
assert birthDate == birthDate,,,2019-04-23 18:07:03,2019-04-23 18:07:03,"0,000s",PASSED
"verifyResponseStatusCode(AddSinglePerson, 200)",,,2019-04-23 18:07:03,2019-04-23 18:07:03,"0,003s",PASSED
"DeletePersonAddedLastely = sendRequest(findTestObject(""PersonsOR/DeleteOnePerson""))",,,2019-04-23 18:07:03,2019-04-23 18:07:03,"0,049s",PASSED
"verifyResponseStatusCode(DeletePersonAddedLastely, 204)",,,2019-04-23 18:07:03,2019-04-23 18:07:03,"0,009s",PASSED
"checkPersonKoAgain = sendRequest(findTestObject(""PersonsOR/GetOnePerson""))",,,2019-04-23 18:07:03,2019-04-23 18:07:03,"0,041s",PASSED
"verifyResponseStatusCode(checkPersonKoAgain, 404)",,,2019-04-23 18:07:03,2019-04-23 18:07:03,"0,003s",PASSED
,,,,,,
Test Cases/cdT_Person/cdT_retriveListPerson,,,2019-04-23 18:07:03,2019-04-23 18:07:03,"0,302s",FAILED
Start setup action : setupTestCase,,,2019-04-23 18:07:03,2019-04-23 18:07:03,"0,001s",PASSED
"data_init = findTestData(""Data Files/DDT_Person"")",,,2019-04-23 18:07:03,2019-04-23 18:07:03,"0,005s",PASSED
rows_lign = data_init.getRowNumbers(),,,2019-04-23 18:07:03,2019-04-23 18:07:03,"0,000s",PASSED
"AddSinglePerson = sendRequest(findTestObject(""PersonsOR/PostPerson"", [""gender"":gender, ""name"":namePerson, ""dateBD"":birthDate]))",,,2019-04-23 18:07:03,2019-04-23 18:07:03,"0,015s",PASSED
slurper = new groovy.json.JsonSlurper(),,,2019-04-23 18:07:03,2019-04-23 18:07:03,"0,000s",PASSED
result = slurper.parseText(AddSinglePerson.getResponseBodyContent()),,,2019-04-23 18:07:03,2019-04-23 18:07:03,"0,001s",PASSED
assert name == namePerson,,,2019-04-23 18:07:03,2019-04-23 18:07:03,"0,000s",PASSED
assert gender == gender,,,2019-04-23 18:07:03,2019-04-23 18:07:03,"0,000s",PASSED
assert birthDate == birthDate,,,2019-04-23 18:07:03,2019-04-23 18:07:03,"0,001s",PASSED
"verifyResponseStatusCode(AddSinglePerson, 200)",,,2019-04-23 18:07:03,2019-04-23 18:07:03,"0,004s",PASSED
"checkListPerson = sendRequest(findTestObject(""PersonsOR/GetAll""))",,,2019-04-23 18:07:03,2019-04-23 18:07:03,"0,008s",PASSED
"verifyResponseStatusCode(checkListPerson, 200, STOP_ON_FAILURE)",,,2019-04-23 18:07:03,2019-04-23 18:07:03,"0,008s",PASSED
if (valueExecSuiteTest == 1),,,2019-04-23 18:07:03,2019-04-23 18:07:03,"0,040s",FAILED
,,,,,,
Test Cases/cdT_Person/cdT_DeletePerson,,,2019-04-23 18:07:03,2019-04-23 18:07:03,"0,351s",PASSED
Start setup action : setupTestCase,,,2019-04-23 18:07:03,2019-04-23 18:07:03,"0,001s",PASSED
"AddSinglePerson = sendRequest(findTestObject(""PersonsOR/PostPerson"", [""gender"":gender, ""name"":namePerson, ""dateBD"":birthDate]))",,,2019-04-23 18:07:03,2019-04-23 18:07:03,"0,027s",PASSED
slurper = new groovy.json.JsonSlurper(),,,2019-04-23 18:07:03,2019-04-23 18:07:03,"0,001s",PASSED
result = slurper.parseText(AddSinglePerson.getResponseBodyContent()),,,2019-04-23 18:07:03,2019-04-23 18:07:03,"0,000s",PASSED
assert name == namePerson,,,2019-04-23 18:07:03,2019-04-23 18:07:03,"0,001s",PASSED
assert gender == gender,,,2019-04-23 18:07:03,2019-04-23 18:07:03,"0,000s",PASSED
assert birthDate == birthDate,,,2019-04-23 18:07:03,2019-04-23 18:07:03,"0,000s",PASSED
"verifyResponseStatusCode(AddSinglePerson, 200)",,,2019-04-23 18:07:03,2019-04-23 18:07:03,"0,002s",PASSED
"checkIfPersonWellAdded = sendRequest(findTestObject(""PersonsOR/GetOnePerson""))",,,2019-04-23 18:07:03,2019-04-23 18:07:03,"0,032s",PASSED
slurper1 = new groovy.json.JsonSlurper(),,,2019-04-23 18:07:03,2019-04-23 18:07:03,"0,000s",PASSED
result1 = slurper1.parseText(checkIfPersonWellAdded.getResponseBodyContent()),,,2019-04-23 18:07:03,2019-04-23 18:07:03,"0,001s",PASSED
assert name == namePerson,,,2019-04-23 18:07:03,2019-04-23 18:07:03,"0,000s",PASSED
assert gender == gender,,,2019-04-23 18:07:03,2019-04-23 18:07:03,"0,000s",PASSED
assert birthDate == birthDate,,,2019-04-23 18:07:03,2019-04-23 18:07:03,"0,000s",PASSED
"verifyResponseStatusCode(checkIfPersonWellAdded, 200, CONTINUE_ON_FAILURE)",,,2019-04-23 18:07:03,2019-04-23 18:07:03,"0,002s",PASSED
"DeletePersonAddedLastely = sendRequest(findTestObject(""PersonsOR/DeleteOnePerson""))",,,2019-04-23 18:07:03,2019-04-23 18:07:03,"0,029s",PASSED
"verifyResponseStatusCode(DeletePersonAddedLastely, 204)",,,2019-04-23 18:07:03,2019-04-23 18:07:03,"0,002s",PASSED
"DeletePersonAgain = sendRequest(findTestObject(""PersonsOR/DeleteOnePerson""))",,,2019-04-23 18:07:03,2019-04-23 18:07:03,"0,036s",PASSED
"verifyResponseStatusCode(DeletePersonAgain, 404)",,,2019-04-23 18:07:03,2019-04-23 18:07:03,"0,002s",PASSED
